company,longitude,latitude,city,state
PhdJobs.com,43.35421636400008,-11.662553529999968,,
Kelly Services,0.7569800000000555,51.52986000000004,Southend-on-Sea,
"Salesforce.com, Inc.",-122.39482997662915,37.79442997547536,San Francisco,CA
Medix,24.757799917768487,60.209299919499216,Espoo,
County of San Bernardino,-117.46155784329956,34.26608097014786,San Bernardino,CA
Fujifilm Diosynth Biotechnologies,80.43613000000005,16.302170000000046,Guntur,
Zimmer Biomet,100.52927000000005,13.721300000000042,Yan Nawa,
Experis,-80.26547004558779,27.227069930030847,Stuart,FL
Eurofins Scientific,74.74516000000006,34.10970000000003,Ganderbal,
NGA,96.80537153400007,61.989526183000066,,
Muckleshoot Indian Tribe,-122.14760911199994,47.26211766000006,,WA
THE ESTÉE LAUDER COMPANIES,121.05375000000004,14.546220000000062,Taguig City,
Beebe Healthcare,-75.1425600062028,38.77185003664378,Lewes,DE
Biogen,-49.247990011108456,-25.41811998499632,Curitiba,
Quest Diagnostics,-98.34768002337083,29.554129946621906,San Antonio,TX
Spectraforce Technologies Inc,73.92606000000006,18.511540000000025,Pune,
National Geospatial-Intelligence Agency,-77.19351999999998,38.75688000000008,Springfield,VA
Brookhaven LAB,-84.33727999999996,33.86474000000004,Brookhaven,GA
Aequor,77.00986000000006,28.430350000000033,Gurugram,
"Lonza, Inc.",7.743430000000046,46.30690000000004,,
Yeti Technologies,80.43613000000005,16.302170000000046,Guntur,
Hopjump,80.95691000000005,26.901290000000074,Lucknow,
US Department of Veterans Affairs,-77.04256002553518,38.89828998110125,Washington,DC
Accountemps,-71.05384994835259,42.35530994503446,Boston,MA
Fujifilm,39.91823000000005,43.430150000000026,Сочи,
"Axelon, Inc.",2.0666700000000446,49.43333000000007,,
Micron,-58.586089999999956,-34.70894999999996,Isidro Casanova,
Certara,9.059060000000045,46.084910000000036,Lugano,
"Mondelez International, Inc.",-75.00093003952827,40.105550031738105,Philadelphia,PA
"Immunomedics, Inc.",-72.62758999999994,-38.73753999999997,Temuco,
Estee Lauder,-117.32255999985667,33.12574007112311,Carlsbad,CA
SLAC National Accelerator Laboratory,-122.20426002279387,37.42082994330374,Menlo Park,CA
UW Medicine,40.10578000000004,44.61130000000003,Майкоп,
CHOP,127.75000000000011,34.733330000000024,,
Great Lakes Water Authority,77.15736000000004,8.342850000000055,Neyyattinkara,
National Jewish Health,-82.20531200527142,39.95278651997017,Heath,OH
GlobalSubmit,135.06670000000008,48.48200000000003,Хабаровск,
Apex Life Sciences,31.04075000000006,-17.822369999999978,Harare,
Mondelēz International,-75.00093003952827,40.105550031738105,Philadelphia,PA
SNA International,26.927170022794,60.51549997056972,Kotka,
Kern Medical,78.08569000000006,27.91978000000006,Aligarh,
Genesis10,-84.91435999999999,36.11506000000003,Genesis,TN
CBRE,-118.2537999372441,34.052109969415845,Los Angeles,CA
Staff Matters,28.911860000000047,-2.4793099999999413,Cyangugu,
Resource Development Associates,32.57987000000003,0.3455600000000345,Kampala,
ACT-1,149.0029209920001,-35.48872921099996,,
Intel Corp.,122.51917000000003,10.683760000000063,Iloilo City,
Merck KGaA,8.653740001730807,49.89428007530484,Darmstadt,
Quest Diagnostics Incorporated,-98.34768002337083,29.554129946621906,San Antonio,TX
Technology Resource Group,77.56584000000004,12.957070000000044,Bengaluru,
Boston University,-71.0988699816781,42.35021002611222,Boston,MA
Luminex,88.35873000000004,22.562870000000032,Kolkata,
KornFerry Futurestep,88.38098000000008,22.46969000000007,Kolkata,
Financial Recovery Technologies,-76.13994999999994,39.053720000000055,Recovery,MD
BioReliance,-72.73340999999994,41.81693000000007,Bloomfield,CT
Boeing,100.58822000000004,13.915190000000052,Don Mueang,
Express Employment Professionals Central Oregon,-123.27802307197113,44.59186542043298,Corvallis,OR
Auto-Owners Insurance,-170.62693999999996,-14.283059999999978,Auto,
"Serco, Inc.",77.53106000000008,12.98756000000003,Bengaluru,
Russell Tobin,-72.67431999999997,41.76761000000005,Hartford,CT
,,,,
"Capsugel, US LLC",100.63774000000006,14.327630000000056,Khan Ham,
3D Systems,5.5654799849964265,50.655269948929636,Liège,
Ajilon Professional Staffing,-82.44935995614289,27.9623099538353,Tampa,FL
Celebrity Staff,-0.10863999999997986,51.56418000000008,London,
RFA Engineering,81.34921000000008,21.205370000000073,Bhilai,
Tetra Tech,100.27843000000007,13.584320000000048,Na Di,
Dana-Farber Cancer Institute,-71.10696005496553,42.33751006939234,Boston,MA
Summit Health,-96.485868,32.857785,Rockwall,TX
Milliman,77.07185000000004,28.450920000000053,Gurugram,
Cardinal Health,-96.86359998326557,32.81954998052436,Dallas,TX
KBRwyle,,,,
Serco Group plc,106.81000000000006,-6.291999999999973,Pasar Minggu,
Accessible Solutions,-1.7865600438570253,46.49607000000003,Les Sables-d'Olonne,
Snowflake,-110.07895999999994,34.51313000000005,Snowflake,AZ
GolfNow,14.828540000000032,53.56392000000005,Goleniów,
CIC Plus,2.1643400000000383,41.40144997446481,Barcelona,
Star Cutter,77.42663000000005,28.677890000000048,Ghaziabad,
Coursera,,,,
Imperva,8.03860000000003,43.88984000000005,Imperia,
"DISTek Integration, Inc.",77.35381000000007,28.65390000000008,Ghaziabad,
State Street Corporation,-117.35207000057687,33.16364997778303,Carlsbad,CA
CACI International,-77.11749003000725,38.88332004053889,Arlington,VA
Peraton,116.47350000000006,-8.623299999999972,,
Casa Systems Inc,72.53091000000006,23.06397000000004,Ahmedabad,
"Tecplot, Inc",,,,
Polycom,35.53294000000005,33.84265000000005,Hadath,
HubSpot,,,,
Stratus Technologies,-71.43620999942306,42.43859994662193,Maynard,MA
Sila Solutions Group,72.81916000000007,18.95939000000004,Mumbai,
rootliquids,0.46319000000005417,51.58465000000007,Basildon,
Octane Lending,93.93027000000006,27.714660000000038,Old Ziro,
MathWorks,-71.35240993493642,42.299559977783055,Natick,MA
ooma,148.08827000000008,-33.64142999999996,Ooma,
Seoul Semiconductor,81.35104000000007,21.20679000000007,Bhilai,
"Summit Partners, L.P",-74.35958999999997,40.741490000000056,Summit,NJ
"DaySmart Software, LLC",77.60508000000004,12.975680000000068,Bengaluru,
Sensata Technologies,-71.26934999999997,41.95275000000004,Attleboro,MA
FactSet,121.05259000000001,14.534430000000043,Taguig City,
Alion Science & Technology,32.58170000000007,0.3107900000000541,Kampala,
Raven Industries,-96.72481999999997,43.55117995556606,Sioux Falls,SD
Raytheon,-104.79358999999994,39.71668993104137,Aurora,CO
National Software Management,85.17531000000008,25.613050000000044,Patna,
Qumulo,93.45000000000005,42.80000000000007,Hami,
EchoStar,-104.85348002293718,39.54544992613567,Englewood,CO
Clearwater Analytics,-82.79974999999996,27.965580000000045,Clearwater,FL
Applied Materials,-97.61674999999997,30.33263000000005,Austin,TX
Relevante,78.43401000000006,17.421560000000056,Hyderabad,
vArmour,0.2850500000000693,45.34527000000003,Bouteilles-Saint-Sébastien,
Global Shop Solutions,24.95969992281744,60.184649984996426,Helsinki,
Amazon,-48.99999999999994,-0.1666699999999537,,
SendGrid,,,,
UBS,-73.54300994835262,41.049040069392376,Stamford,CT
InviteManager,-0.15895999999997912,50.84251000000006,Hove,
Marvell Technology,100.51887000000005,13.854030000000023,Talat Khwan,
Medtronic,35.54079000000007,33.87706000000003,Ed Dekouane,
Epsilon Systems,-121.89361999999994,36.59927000000005,Monterey,CA
Revature,,,,
CyberCoders,,,,
Business Technology Partners,55.151830000000075,25.092900000000043,Al Safouh Second,
Breckenridge Grand Vacations,-106.04941000894406,39.47700007328748,Breckenridge,CO
PowerSchool,-86.80393994113922,33.52160996277941,Birmingham,AL
SkyKick,100.61882005010034,13.54174640455119,Thai Ban,
Grab,9.580140000000029,49.03872000000007,Großerlach,
Dhalite,122.23333000000002,10.650000000000034,Dalite,
Blume Global,30.752180000000067,-25.109989999999982,Thaba Chweu,
Manulife,-79.87942999999996,44.14892000000003,New Tecumseth,ON
QualiTest Group,75.93249000000003,17.68372000000005,Solapur,
NBC Universal,21.005690018898854,52.22846992671263,Warszawa,
ComGen America,-117.98909999596154,33.7263399489296,Westminster,CA
Telarix,83.81712000000005,24.98100000000005,Chenari,
YourCause,6.282759959461187,52.3305600510705,Heeten,
Siemens,-90.08491999999995,46.48084000000006,Bessemer Twp,MI
Intermountain Healthcare,-111.8532000650635,40.57865994892962,Sandy,UT
Trend Micro,103.78913001832193,1.290400036643784,Singapore,
Cannon Search Partners,-83.85767999999996,36.920330000000035,Cannon,KY
TMC Design Corporation,-8.43279999999993,54.649080000000026,Donegal,
Moody's Analytics,78.44526000000008,17.438270000000045,Hyderabad,
Cypress Semiconductor,-97.6815800062028,30.551369955566038,Round Rock,TX
219 Design,103.15526000000006,15.04839000000004,Bua Thong,
Altamira Technologies,-52.20844999999997,-3.1951399999999808,Altamira,
Leidos,-7.645669999999939,41.35232000000008,Vila Real,
Varsity Tutors,-97.35995999999994,32.69858000000005,Fort Worth,TX
"MSA Professional Services, Inc.",-92.28603997446476,34.7801400077903,North Little Rock,AR
Broadridge,145.7800000000001,-41.20999999999998,,
EISENMANN,2.0757499961049124,41.31888001832191,El Prat de Llobregat,
Oath,,,,
HireRight,-0.6456799999999703,51.30022000000008,Woking,
Motorola Solutions,-97.70954998499631,30.393040022793997,Austin,TX
Mueller Water Products,77.36823000000004,28.67874000000006,Ghaziabad,
Evolve IP,-1.7564599999999473,53.79474000000005,Bradford,
Textron,-71.40944992281737,41.825179981101265,Providence,RI
General Dynamics Mission Systems,-111.90428999999995,33.465729950230454,Scottsdale,AZ
BAE Systems,-97.66060001731128,30.277200003895164,Austin,TX
DCS Corp,-38.54066999999998,-10.835679999999968,Ribeira do Pombal,
"ISYS Technologies, Inc.",76.96162000000004,11.015180000000043,Coimbatore,
InTouch Health,151.13469991949924,-34.04653002611212,Sydney,
Corning,-77.05455999999998,42.143260000000055,Corning,NY
Western Asset,6.544356750000007,52.987247999999994,Assen,
Jobspring Partners,101.3293316451232,13.61674504020425,Hua Samrong,
Horizon Consulting,75.88026000000008,22.722320000000025,Indore,
Procter & Gamble,-0.46210999999993874,51.351600000000076,Weybridge,
T. Rowe Price,-76.61308995556597,39.28659006722798,Baltimore,MD
"Shimmick Construction Co., Inc.",-4.450601249999989,37.9730115,Pedro Abad,
COBB Tuning,-49.25852999999995,-16.715089999999975,Goiânia,
CUBRC Inc.,19.069720000000075,43.45083000000005,,
PHI - Louisiana,-91.99883999999997,30.199970000000064,Lafayette,LA
Prudential,109.67047000000008,-6.884519999999952,Pekalongan Barat,
MPAY,,,,
Moffatt & Nichol,-89.09059999999994,36.332670000000064,Moffatt,TN
Next Century,77.04296000000005,28.410790000000077,Gurugram,
Red Hat,-1.1995299999999247,52.96141000000006,Nottingham,
Dumac Business Systems,-95.43573004501087,29.66382994330373,Houston,TX
Macropace Technologies,73.82979000000006,18.645440000000065,Chinchwad,
Lockheed Martin Corporation,-118.11650999999995,34.60268000000008,Palmdale,CA
Gold Coast IT Solutions,153.4286300000001,-28.002359999999953,Gold Coast,
GAN Corp,-38.54066999999998,-10.835679999999968,Ribeira do Pombal,
BOEING,100.58822000000004,13.915190000000052,Don Mueang,
SEAKR,111.78976000000006,-7.4591499999999655,Sekar,
"BrainSurf Informatics, Inc.",80.62417000000005,7.2843500000000745,Kandy,
Quintrix Solutions,-95.56660997778297,29.943979945034442,Houston,TX
Utilant LLC,,,,
HPA,-45.915959999999984,-23.22736999999995,São José dos Campos,
LexisNexis Legal & Professional,100.56084000000004,13.71652000000006,Khlong Toei,
Danaher,-85.78145999999998,46.34295000000003,Columbus Twp,MI
Johnson Controls,-98.42439002005256,29.558270001153865,San Antonio,TX
LexisNexis Risk Solutions,-88.40944999999994,40.68013000000008,Risk,IL
Rockwell Collins,-0.9338699999999562,51.45832000000007,Reading,
"WiLine Networks, Inc",26.554620000000057,39.094100000000026,Mytilini,
"L-3 Communications Holdings, Inc",-79.51281999999998,8.988740000000064,Ciudad de Panamá,
Aerotech,-79.86550006448657,40.50084000288463,Pittsburgh,PA
G2 OPS INC,-73.91714995614286,40.702779948929624,Brooklyn,NY
Orolia,38.72635521500007,7.694393644000058,,
Current Tech Corporation,-8.43279999999993,54.649080000000026,Donegal,
Havertys,-97.80216001283924,30.470610077182638,Cedar Park,TX
DataPath,-1.4654999999999632,52.94382000000007,Derby,
Mueller Systems,55.533330000000035,-66.91666999999995,,
NDDSystems LLC,-84.55176996277932,39.121239948929606,Cincinnati,OH
Robert Half Technology,-96.82257999999996,32.92703000000006,Dallas,TX
Esterline Defense Group,75.93249000000003,17.68372000000005,Solapur,
MIT Lincoln Laboratory,-81.26072999999997,35.43313000000006,Laboratory,NC
Gannett Fleming,-77.06998002221698,38.89486994113934,Arlington,VA
LaunchCode,86.12575000000004,55.412150000000054,Кемерово,
The Vision Companies,3.5694400222170333,47.79480007660572,Auxerre,
NICE,7.277740000000051,43.70025000000004,Nice,
McAfee,-84.85278999999997,37.85000000000008,McAfee,KY
InfoIMAGE,16.317900076605717,38.97010002553526,Lamezia Terme,
Coyote,-121.73816,37.21545000000003,Coyote,CA
NetCloudTek,,,,
Seagate Technology,-105.17248006390967,40.1566299932203,Longmont,CO
Volt Workforce Solutions,25.60769002943042,-33.94898006939228,Nelson Mandela Bay,
"Aerotek, An Allegis Group Company",77.61244000000005,12.969260000000077,Bengaluru,
ConsultAdd Inc.,73.92303000000004,18.514400000000023,Pune,
Bullhorn,10.107630000000029,53.35932000000008,Stelle,
First American Bank,-108.13225999999997,32.69704000000007,Hurley,NM
Northrop Grumman,-118.2371900510704,33.860879983265676,Carson,CA
Front Row Consultants,35.74094000000008,33.91116000000005,El Mrouj,
Accruent,,,,
"DCM Creations, Inc.",-110.96555999942302,32.22754997446481,Tucson,AZ
Seagate Technology LLC,-105.17248006390967,40.1566299932203,Longmont,CO
Cirrus Logic,-97.75094993060766,30.27038003332553,Austin,TX
Star SU,7.624809991632831,50.77739998441948,Windeck,
Fortive,-3.6733899816781084,40.41516003664376,Madrid,
Xactly Corporation,-8.43279999999993,54.649080000000026,Donegal,
HCL America Inc.,-0.7601299999999469,43.517130000000066,Orthez,
fivetwelvellc.com,43.35421636400008,-11.662553529999968,,
Lumeris,30.315300000000036,3.5987800000000334,Lumeri,
Hughes Network Systems,-117.20270998095789,32.898369996538555,San Diego,CA
Tech-Keys,79.42776000000003,13.641310000000033,Tirupati,
Esterline Technologies Corp,-122.19620996277935,47.61501000000004,Bellevue,WA
"Micro Systems, Inc.",-88.69774999999998,30.513210000000072,Vancleave,MS
UES,-71.78332999999998,11.633330000000058,Ues,
General Dynamics,-81.20298992498178,35.64801007343079,Newton,NC
Entegra Systems,-112.00697999999994,33.40536000000003,Phoenix,AZ
Catch Talent,-122.78548999999998,42.24624000000006,Talent,OR
"Gecko Robotics, Inc.",79.26272000000006,17.071780000000047,Nalgonda,
Seikowave,140.5242523290001,37.410228776000054,,
Torch Technologies,31.14754000000005,-26.328839999999957,Mbabane,
State Street Global Advisors,-71.05790008050079,42.353140025535254,Boston,MA
"Dajac, Inc.",-2.0833299999999326,10.450000000000045,,
Ultra Electronics USSI,90.41305000000006,23.750180000000057,Dhaka,
JMA Wireless,-95.50874004443396,29.675200025535272,Houston,TX
Nuance,5.1641800294304145,48.77144006939237,Bar-le-Duc,
GaN,-0.38690999999994347,43.22983000000005,Gan,
TSA Consulting,15.215469956142966,59.27157006939238,Örebro,
Keysight Technologies,103.84005000000008,1.441310000000044,Singapore,
Open Systems International,35.47141000000005,33.77571000000006,Qobbet Ech Chouaifat,
G5,15.989520000000027,45.81259000000006,Zagreb,
"Amches, Inc.",56.48760000000004,59.78340000000003,,
Square 9 Softworks,-0.9549099999999271,51.453500000000076,Reading,
Beckman Coulter,-117.86378993320568,33.916410077182654,Brea,CA
ATS Automation Tooling,-122.65531999826918,45.350690045587896,West Linn,OR
FIS,52.15950000000004,36.075090000000046,Fīs,
Coyote Logistics,32.57650000000007,-25.960939999999937,Cidade de Maputo,
Digital Pharmacist,90.42816000000005,23.742000000000075,Dhaka,
Hexagon AB,16.6076399910559,49.19332995614299,Brno,
Tyler Technologies,-70.22164999999995,43.73897000000005,Falmouth,ME
IntePros,-103.42070999999999,20.66378000000003,Zapopan,
"Benchmark Electronics, Inc",-92.51518999999996,44.052220006202894,Rochester,MN
"O'Neil Digital Solutions, LLC",-109.94607999999994,34.12964000000005,Pinetop,AZ
Dell,-90.04420999999996,35.85863000000006,Dell,AR
Job Juncture,3.74577000000005,45.61626000000007,Job,
Freedom Financial Network,-93.64485999999994,41.58754000000005,Des Moines,IA
Apartment List,-123.12133999999998,49.27412000000004,Vancouver,BC
